z rho cpa p g kappa mu bulk wx wy cp cv gamma
3.012470e+03 8.837212e-01 3.368735e+02 7.168194e+04 9.797362e+00 0.000000e+00 0.000000e+00 0.000000e+00 -2.555098e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.036235e+03 8.816269e-01 3.367899e+02 7.147646e+04 9.797289e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.025371e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.060000e+03 8.795377e-01 3.367061e+02 7.127147e+04 9.797215e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.504546e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.083764e+03 8.774535e-01 3.366220e+02 7.106696e+04 9.797142e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.991670e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.107529e+03 8.753743e-01 3.365377e+02 7.086294e+04 9.797069e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.485339e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.131293e+03 8.733001e-01 3.364531e+02 7.065941e+04 9.796996e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.984017e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.155058e+03 8.712309e-01 3.363684e+02 7.045636e+04 9.796923e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.486168e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.178823e+03 8.691666e-01 3.362834e+02 7.025379e+04 9.796849e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.990254e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.202587e+03 8.671073e-01 3.361981e+02 7.005171e+04 9.796776e+00 0.000000e+00 0.000000e+00 0.000000e+00 -6.494741e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.226352e+03 8.650528e-01 3.361127e+02 6.985011e+04 9.796703e+00 0.000000e+00 0.000000e+00 0.000000e+00 -6.998091e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.250116e+03 8.630032e-01 3.360270e+02 6.964898e+04 9.796630e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.498769e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.273881e+03 8.609585e-01 3.359411e+02 6.944833e+04 9.796556e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.995239e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.297646e+03 8.589187e-01 3.358550e+02 6.924817e+04 9.796483e+00 0.000000e+00 0.000000e+00 0.000000e+00 -8.485963e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.321410e+03 8.568836e-01 3.357687e+02 6.904847e+04 9.796410e+00 0.000000e+00 0.000000e+00 0.000000e+00 -8.969407e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.345175e+03 8.548534e-01 3.356821e+02 6.884925e+04 9.796337e+00 0.000000e+00 0.000000e+00 0.000000e+00 -9.444033e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.368939e+03 8.528279e-01 3.355953e+02 6.865051e+04 9.796264e+00 0.000000e+00 0.000000e+00 0.000000e+00 -9.908305e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.392704e+03 8.508072e-01 3.355083e+02 6.845224e+04 9.796190e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.036069e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.416469e+03 8.487912e-01 3.354211e+02 6.825444e+04 9.796117e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.079964e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.440233e+03 8.467799e-01 3.353337e+02 6.805711e+04 9.796044e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.122364e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.463998e+03 8.447734e-01 3.352461e+02 6.786025e+04 9.795971e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.163114e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.487762e+03 8.427715e-01 3.351582e+02 6.766386e+04 9.795898e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.202060e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.511527e+03 8.407743e-01 3.350702e+02 6.746793e+04 9.795824e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.239049e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.535292e+03 8.387817e-01 3.349819e+02 6.727247e+04 9.795751e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.273927e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.559056e+03 8.367937e-01 3.348935e+02 6.707748e+04 9.795678e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.306541e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.582821e+03 8.348103e-01 3.348048e+02 6.688295e+04 9.795605e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.336737e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.606585e+03 8.328315e-01 3.347159e+02 6.668888e+04 9.795532e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.364362e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.630350e+03 8.308572e-01 3.346268e+02 6.649528e+04 9.795458e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.389261e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.654115e+03 8.288874e-01 3.345375e+02 6.630213e+04 9.795385e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.411281e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.677879e+03 8.269222e-01 3.344480e+02 6.610945e+04 9.795312e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.430270e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
3.701644e+03 8.249615e-01 3.343584e+02 6.591722e+04 9.795239e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.446189e+00 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
